id,title,solutions
1,Password Reset Request,"['Reset user password', 'Verify user identity', 'Unlock account if locked']"
2,VPN Connection Issue,"['Check VPN configuration', 'Restart VPN client', 'Verify network connectivity']"
3,Software Installation Failure,"['Check installation logs', 'Ensure system requirements', 'Reinstall Office 365']"
4,Folder Access Denied,"['Check folder permissions', 'Add user to access group', 'Verify network path']"
5,Printer Not Responding,"['Restart printer', 'Check printer connection', 'Reinstall printer drivers']"
6,Email Sync Failure,"['Check Outlook settings', 'Verify server status', 'Re-add email account']"
7,Active Directory Sync Error,"['Force AD sync', 'Check AD connector', 'Review sync logs']"
8,VPN Firewall Block,"['Check firewall rules', 'Allow VPN traffic', 'Contact network admin']"
9,Application Crash on Launch,"['Check application logs', 'Reinstall application', 'Update to latest version']"
10,CI/CD Pipeline Failure,"['Review build logs', 'Check pipeline configuration', 'Increase build timeout']"
11,Password Reset for ERP System,"['Reset ERP password', 'Verify user access', 'Unlock ERP account']"
12,Outlook Profile Corruption,"['Create new Outlook profile', 'Repair Outlook installation', 'Restore from backup']"
13,Shared Drive Access Issue,"['Check drive permissions', 'Map network drive again', 'Contact IT support']"
14,Software License Expired,"['Renew software license', 'Check license server', 'Contact vendor']"
15,Mouse Not Working,"['Try different USB port', 'Replace mouse', 'Update mouse drivers']"
16,Database Connection Error,"['Check DB connection string', 'Restart database server', 'Verify DB credentials']"
17,Security Patch Failure,"['Retry patch deployment', 'Check patch logs', 'Update patch management tool']"
18,Network Latency Issue,"['Check network usage', 'Restart router/switch', 'Contact ISP']"
19,SSL Certificate Error,"['Renew SSL certificate', 'Check certificate chain', 'Update browser']"
20,Login Loop Issue,"['Clear browser cache', 'Reset user session', 'Check authentication server']"
21,Password Reset for CRM,"['Reset CRM password', 'Verify CRM user status', 'Unlock CRM account']"
22,Application Slow Performance,"['Check server load', 'Optimize database', 'Increase resources']"
23,File Sync Failure,"['Restart OneDrive', 'Check sync settings', 'Reinstall OneDrive client']"
24,Printer Driver Issue,"['Download correct driver', 'Reinstall printer driver', 'Restart print spooler']"
25,User Account Locked,"['Unlock user account', 'Reset password', 'Check failed login attempts']"
26,API Integration Failure,"['Check API endpoint', 'Review API logs', 'Contact API provider']"
27,Server Disk Space Full,"['Delete unnecessary files', 'Increase disk space', 'Move files to backup']"
28,Email Attachment Issue,"['Reduce attachment size', 'Use file sharing service', 'Check email limits']"
29,Software Update Failure,"['Retry update', 'Check update logs', 'Free up disk space']"
